column,file,stage,dtype
blackfridaybelts-bg src,us-shein-sports_and_outdoors-3853.csv,cleaned,object
blackfridaybelts-content,us-shein-sports_and_outdoors-3853.csv,cleaned,object
goods-title-link--jump,us-shein-sports_and_outdoors-3853.csv,cleaned,object
goods-title-link--jump href,us-shein-sports_and_outdoors-3853.csv,cleaned,object
rank-title,us-shein-sports_and_outdoors-3853.csv,cleaned,object
rank-sub,us-shein-sports_and_outdoors-3853.csv,cleaned,object
price,us-shein-sports_and_outdoors-3853.csv,cleaned,float64
discount,us-shein-sports_and_outdoors-3853.csv,cleaned,float64
selling_proposition,us-shein-sports_and_outdoors-3853.csv,cleaned,object
goods-title-link,us-shein-sports_and_outdoors-3853.csv,cleaned,object
product_title,us-shein-sports_and_outdoors-3853.csv,cleaned,object
color-count,us-shein-swimwear-3761.csv,cleaned,float64
goods-title-link--jump,us-shein-swimwear-3761.csv,cleaned,object
goods-title-link--jump href,us-shein-swimwear-3761.csv,cleaned,object
price,us-shein-swimwear-3761.csv,cleaned,float64
rank-title,us-shein-swimwear-3761.csv,cleaned,object
rank-sub,us-shein-swimwear-3761.csv,cleaned,object
discount,us-shein-swimwear-3761.csv,cleaned,float64
goods-title-link,us-shein-swimwear-3761.csv,cleaned,object
product_title,us-shein-swimwear-3761.csv,cleaned,object
goods-title-link--jump,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
goods-title-link--jump href,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
rank-title,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
rank-sub,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
price,us-shein-tools_and_home_improvement-3903.csv,cleaned,float64
selling_proposition,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
discount,us-shein-tools_and_home_improvement-3903.csv,cleaned,float64
goods-title-link,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
product_title,us-shein-tools_and_home_improvement-3903.csv,cleaned,object
rank-title,us-shein-toys_and_games-3577.csv,cleaned,object
rank-sub,us-shein-toys_and_games-3577.csv,cleaned,object
price,us-shein-toys_and_games-3577.csv,cleaned,float64
selling_proposition,us-shein-toys_and_games-3577.csv,cleaned,object
discount,us-shein-toys_and_games-3577.csv,cleaned,float64
goods-title-link,us-shein-toys_and_games-3577.csv,cleaned,object
product_title,us-shein-toys_and_games-3577.csv,cleaned,object
goods-title-link--jump,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
goods-title-link--jump href,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
selling_proposition,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
price,us-shein-underwear_and_sleepwear-4019.csv,cleaned,float64
discount,us-shein-underwear_and_sleepwear-4019.csv,cleaned,float64
rank-title,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
rank-sub,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
color-count,us-shein-underwear_and_sleepwear-4019.csv,cleaned,float64
goods-title-link,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
product_title,us-shein-underwear_and_sleepwear-4019.csv,cleaned,object
product-locatelabels-img src,us-shein-womens_clothing-4620.csv,cleaned,object
color-count,us-shein-womens_clothing-4620.csv,cleaned,float64
goods-title-link,us-shein-womens_clothing-4620.csv,cleaned,object
rank-title,us-shein-womens_clothing-4620.csv,cleaned,object
rank-sub,us-shein-womens_clothing-4620.csv,cleaned,object
price,us-shein-womens_clothing-4620.csv,cleaned,float64
discount,us-shein-womens_clothing-4620.csv,cleaned,float64
selling_proposition,us-shein-womens_clothing-4620.csv,cleaned,object
product_title,us-shein-womens_clothing-4620.csv,cleaned,object
