color-count,goods-title-link--jump,goods-title-link--jump href,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link,product_title
4.0,SHEIN EZwear Coolmax Plus Size Light-Colored Distressed Denim Shorts,https://us.shein.com/SHEIN-EZwear-Coolmax-Plus-Size-Light-Colored-Distressed-Denim-Shorts-p-32963568.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,1.2k+ sold recently,<NA>,SHEIN EZwear Coolmax Plus Size Light-Colored Distressed Denim Shorts
8.0,SHEIN Essnce Plus Pocket Patched Romper,https://us.shein.com/SHEIN-Essnce-Plus-Pocket-Patched-Romper-p-11852478.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#5 Best Seller,In Casual Plus Size Jumpsuits & Bodysuits,,,,<NA>,SHEIN Essnce Plus Pocket Patched Romper
,"SHEIN SXY Plus Size One-Shoulder Solid Color Jumpsuit For Daily Wear, Spring & Summer",https://us.shein.com/SHEIN-SXY-Plus-Size-One-Shoulder-Solid-Color-Jumpsuit-For-Daily-Wear-Spring-Summer-p-33859757.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#6 Best Seller,In Casual Plus Size Jumpsuits & Bodysuits,,,,<NA>,"SHEIN SXY Plus Size One-Shoulder Solid Color Jumpsuit For Daily Wear, Spring & Summer"
,SHEIN VCAY Plus Size Vacation Style Ruffle Edge Camisole With Thin Straps,https://us.shein.com/SHEIN-VCAY-Plus-Size-Vacation-Style-Ruffle-Edge-Camisole-With-Thin-Straps-p-34988179.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#10 Best Sellers,in Plus Size Tank Tops & Camis,,,,<NA>,SHEIN VCAY Plus Size Vacation Style Ruffle Edge Camisole With Thin Straps
,SHEIN Swim Oasis Summer Beach Plus Tie Shoulder One Piece Swimsuit & Beach Skirt,https://us.shein.com/SHEIN-Swim-Oasis-Summer-Beach-Plus-Tie-Shoulder-One-Piece-Swimsuit-Beach-Skirt-p-23255200.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,2.4k+ sold recently,<NA>,SHEIN Swim Oasis Summer Beach Plus Tie Shoulder One Piece Swimsuit & Beach Skirt
,"SHEIN LUNE Plus Size Solid Color Round Neck Hollow Out Embroidery Sleeveless Shirt, Summer",https://us.shein.com/SHEIN-LUNE-Plus-Size-Solid-Color-Round-Neck-Hollow-Out-Embroidery-Sleeveless-Shirt-Summer-p-35551494.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#9 Best Seller,In White Plus Size Blouses,,,,<NA>,"SHEIN LUNE Plus Size Solid Color Round Neck Hollow Out Embroidery Sleeveless Shirt, Summer"
25.0,SHEIN Clasi Plus Ruffle Trim Belted Dress,https://us.shein.com/SHEIN-Clasi-Plus-Ruffle-Trim-Belted-Dress-p-15848900.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,4.6k+ sold recently,<NA>,SHEIN Clasi Plus Ruffle Trim Belted Dress
6.0,SHEIN EZwear Plus Size Classic Camouflage Pleated Skirt,https://us.shein.com/SHEIN-EZwear-Plus-Size-Classic-Camouflage-Pleated-Skirt-p-29884804.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,4.6k+ sold recently,<NA>,SHEIN EZwear Plus Size Classic Camouflage Pleated Skirt
4.0,SHEIN Swim SXY Plus Size Women Summer Beach Solid Simple Halter Neck Bikini Set & Cover Up,https://us.shein.com/SHEIN-Swim-SXY-Plus-Size-Women-Summer-Beach-Solid-Simple-Halter-Neck-Bikini-Set-Cover-Up-p-33498247.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#1 Best Seller,In Elegant Women Plus Beachwear,,,,<NA>,SHEIN Swim SXY Plus Size Women Summer Beach Solid Simple Halter Neck Bikini Set & Cover Up
4.0,SHEIN LUNE Women'S Plus Size Striped Button-Down Shirt Dress,https://us.shein.com/SHEIN-LUNE-Women-S-Plus-Size-Striped-Button-Down-Shirt-Dress-p-28778046.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,4.3k+ sold recently,<NA>,SHEIN LUNE Women'S Plus Size Striped Button-Down Shirt Dress
,SHEIN VCAY Texture Patchwork Hollow Out Split Plus Size Sleeveless Sweater Dress,https://us.shein.com/SHEIN-VCAY-Texture-Patchwork-Hollow-Out-Split-Plus-Size-Sleeveless-Sweater-Dress-p-34441750.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#7 Best Seller,In Casual Plus Size Knitwear,,,,<NA>,SHEIN VCAY Texture Patchwork Hollow Out Split Plus Size Sleeveless Sweater Dress
27.0,"SHEIN Slayr Plus Size Vacation Loose Halter Wide Leg Tropical Plant Printed Jumpsuit For Women, Summer",https://us.shein.com/SHEIN-Slayr-Plus-Size-Vacation-Loose-Halter-Wide-Leg-Tropical-Plant-Printed-Jumpsuit-For-Women-Summer-p-33760272.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,600+ sold recently,<NA>,"SHEIN Slayr Plus Size Vacation Loose Halter Wide Leg Tropical Plant Printed Jumpsuit For Women, Summer"
14.0,SHEIN EZwear Plus Solid Tank Top & Track Shorts Set,https://us.shein.com/SHEIN-EZwear-Plus-Solid-Tank-Top-Track-Shorts-Set-p-11851965.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,1.3k+ sold recently,<NA>,SHEIN EZwear Plus Solid Tank Top & Track Shorts Set
,SHEIN Essnce Plus Size Button Half Placket Batwing Sleeve Hoodie And Shorts Summer Casual Two-Piece Set,https://us.shein.com/SHEIN-Essnce-Plus-Size-Button-Half-Placket-Batwing-Sleeve-Hoodie-And-Shorts-Summer-Casual-Two-Piece-Set-p-32903772.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,1.4k+ sold recently,<NA>,SHEIN Essnce Plus Size Button Half Placket Batwing Sleeve Hoodie And Shorts Summer Casual Two-Piece Set
,SHEIN SXY Plus Sized Women's Casual Tight-Fitting Narrow Leg Jeans For Daily Outing,https://us.shein.com/SHEIN-SXY-Plus-Sized-Women-s-Casual-Tight-Fitting-Narrow-Leg-Jeans-For-Daily-Outing-p-34207814.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,30+ sold recently,<NA>,SHEIN SXY Plus Sized Women's Casual Tight-Fitting Narrow Leg Jeans For Daily Outing
9.0,SHEIN EZwear Plus Size High Waist Pocketed Cargo Pants,https://us.shein.com/SHEIN-EZwear-Plus-Size-High-Waist-Pocketed-Cargo-Pants-p-27442904.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,10k+ sold recently,<NA>,SHEIN EZwear Plus Size High Waist Pocketed Cargo Pants
17.0,SHEIN EZwear Oversize Spider Letter Print Round Neck Short Sleeve T-Shirt For Casual Summer Look Undercover,https://us.shein.com/SHEIN-EZwear-Oversize-Spider-Letter-Print-Round-Neck-Short-Sleeve-T-Shirt-For-Casual-Summer-Look-Undercover-p-34097053.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#10 Best Sellers,in Graphic T-shirts,,,,<NA>,SHEIN EZwear Oversize Spider Letter Print Round Neck Short Sleeve T-Shirt For Casual Summer Look Undercover
7.0,SHEIN BAE Plus Size Women's Off-Shoulder Black Short Sleeve T-Shirt,https://us.shein.com/SHEIN-BAE-Plus-Size-Women-s-Off-Shoulder-Black-Short-Sleeve-T-Shirt-p-35442202.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,900+ sold recently,<NA>,SHEIN BAE Plus Size Women's Off-Shoulder Black Short Sleeve T-Shirt
,SHEIN EZwear Plus Size Summer Casual Contrast Color Short Sleeve Bodycon Dress,https://us.shein.com/SHEIN-EZwear-Plus-Size-Summer-Casual-Contrast-Color-Short-Sleeve-Bodycon-Dress-p-34017002.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,700+ sold recently,<NA>,SHEIN EZwear Plus Size Summer Casual Contrast Color Short Sleeve Bodycon Dress
,SHEIN Frenchy Plus Size Square Neck Ditsy Floral Tie Waist Slit Vacation Summer Dress,https://us.shein.com/SHEIN-Frenchy-Plus-Size-Square-Neck-Ditsy-Floral-Tie-Waist-Slit-Vacation-Summer-Dress-p-35342648.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,700+ sold recently,<NA>,SHEIN Frenchy Plus Size Square Neck Ditsy Floral Tie Waist Slit Vacation Summer Dress
11.0,SHEIN EZwear Plus Size Slogan Printed T-Shirt,https://us.shein.com/SHEIN-EZwear-Plus-Size-Slogan-Printed-T-Shirt-p-27524705.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#8 Best Seller,In Casual Plus Size T-shirts,,,,<NA>,SHEIN EZwear Plus Size Slogan Printed T-Shirt
,Women Plus Size Casual Sexy Skinny Denim Shorts,https://us.shein.com/Women-Plus-Size-Casual-Sexy-Skinny-Denim-Shorts-p-32529403.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,1.8k+ sold recently,<NA>,Women Plus Size Casual Sexy Skinny Denim Shorts
7.0,SHEIN SXY Plus Size Women's Solid Color Ribbed Tank Top,https://us.shein.com/SHEIN-SXY-Plus-Size-Women-s-Solid-Color-Ribbed-Tank-Top-p-29232365.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,7.8k+ sold recently,<NA>,SHEIN SXY Plus Size Women's Solid Color Ribbed Tank Top
18.0,SHEIN Clasi Plus Solid Ribbed Summer Casual Cami Romper,https://us.shein.com/SHEIN-Clasi-Plus-Solid-Ribbed-Summer-Casual-Cami-Romper-p-33614237.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,900+ sold recently,<NA>,SHEIN Clasi Plus Solid Ribbed Summer Casual Cami Romper
,Allover Print Batwing Sleeve Belted Jumpsuit(Random Print),https://us.shein.com/Allover-Print-Batwing-Sleeve-Belted-Jumpsuit-Random-Print-p-34143603.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,#2 Best Seller,In Short Sleeve Plus Size Jumpsuits & Bodysuits,,,,<NA>,Allover Print Batwing Sleeve Belted Jumpsuit(Random Print)
,SHEIN EZwear Women Plus Size T-Shirt Summer Short Sleeve Top With Hibiscus Flower Print,https://us.shein.com/SHEIN-EZwear-Women-Plus-Size-T-Shirt-Summer-Short-Sleeve-Top-With-Hibiscus-Flower-Print-p-33446773.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,1.3k+ sold recently,<NA>,SHEIN EZwear Women Plus Size T-Shirt Summer Short Sleeve Top With Hibiscus Flower Print
8.0,SHEIN SXY Plus Ripped Raw Hem Denim Shorts,https://us.shein.com/SHEIN-SXY-Plus-Ripped-Raw-Hem-Denim-Shorts-p-11093848.html?src_identifier=fc%3DCurve%60sc%3DCurve%60tc%3D0%60oc%3D0%60ps%3Dtab06navbar06%60jc%3DitemPicking_017172964&src_module=topcat&src_tab_page_id=page_select_class1718911097153&mallCode=1&pageListType=2,,,,,6.4k+ sold recently,<NA>,SHEIN SXY Plus Ripped Raw Hem Denim Shorts
